value,time
120.5107275,1674950400000
188.774075,1674954000000
207.895775,1674957600000
93.5762575,1674961200000
145.15923,1674964800000
204.04725,1674968400000
158.23755,1674972000000
132.42854,1674975600000
179.998175,1674979200000
155.817395,1674982800000
161.2772575,1674986400000
129.315155,1674990000000
100.037635,1674993600000
176.04597,1674997200000
114.9351525,1675000800000
123.926325,1675004400000
133.8813025,1675008000000
108.4525475,1675011600000
104.43656,1675015200000
116.804435,1675018800000
103.888715,1675022400000
110.545635,1675026000000
100.8133075,1675029600000
117.21684,1675033200000
101.5647225,1675036800000
108.5307075,1675040400000
114.0081625,1675044000000
141.3567675,1675047600000
118.7083975,1675051200000
155.9155075,1675054800000
126.233175,1675058400000
117.569145,1675062000000
141.66693,1675065600000
143.9874,1675069200000
134.0845125,1675072800000
144.000685,1675076400000
164.06715,1675080000000
121.9671075,1675083600000
176.33725,1675087200000
159.811175,1675090800000
134.10218,1675094400000
200.27485,1675098000000
225.3588,1675101600000
211.509775,1675105200000
164.099025,1675108800000
149.21293,1675112400000
188.4787175,1675116000000
175.191075,1675119600000
146.6418725,1675123200000
171.073825,1675126800000
172.3513425,1675130400000
189.36294,1675134000000
179.568,1675137600000
184.479875,1675141200000
177.707125,1675144800000
159.04161,1675148400000
157.3413175,1675152000000
151.6163025,1675155600000
139.49054,1675159200000
162.1181,1675162800000
229.7424,1675166400000
162.453975,1675170000000
218.598475,1675173600000
168.6423,1675177200000
249.065125,1675180800000
190.82105,1675184400000
173.75031,1675188000000
134.65152,1675191600000
205.28885,1675195200000
165.3881,1675198800000
217.699425,1675202400000
202.104825,1675206000000
235.947975,1675209600000
224.634425,1675213200000
228.5961,1675216800000
165.39835,1675220400000
190.5086,1675224000000
172.006895,1675227600000
224.51865,1675231200000
223.755475,1675234800000
233.34165,1675238400000
241.7225,1675242000000
186.1423,1675245600000
222.738875,1675249200000
218.3062,1675252800000
